col0_1	col0_2	abc_1	abc_2
56.7015892101695	74.6776750474576	27.0243692305085	31.6651011661017
2159.796387	3538.540527	39.40028	44.847996
6.18336224645583	6.11627089422028	32.0277477862595	17.7810820392585
46.086773	51.270641	40.687248	44.313698
10.279737	9.735308	7.202428	7.478766
5.27652144773907	4.2513993573017	47.9653624010378	43.9766118191253
1	1	14.284708	12.40172
9.60264	8.045292	37.867542	23.325476
52.4563743120205	60.7278787817562	1277.81597671526	1278.21130399915
639.391174	511.783905	2191.01416	2114.883789
1	1	1	1
62.686604	56.732491	30.217024	31.540388
74.42942	56.920315	544.90918	350.309387
118.384240722008	82.1616748833977	102.692885069498	110.467910753668
64.156036	51.987915	110.125122	100.398743
118.494953217367	119.53051222361	48.5358213189557	47.0224254046538
61.988686	46.110771	66.738998	63.6469
10.9990720486381	7.70554841634241	8.16516689688716	9.26098482198443
2.560691	2.364682	1.541361	3.061406
1	1	6.9298	4.527076
9.549011	7.87181	4.038767	5.034174
7.041597	7.583026	78.872131	84.435112
72.037758	59.080753	46.750298	48.431473
8648.802734	9681.979492	3512.531738	4418.835449
1	1	1	1
1.8979954333838	1.92311669757759	8.89582693035579	8.3753692354277
13.672997	8.681799	4.254072	4.959219
24.193373	20.353416	43.131424	40.381729
26.5931	23.860533	16.872146	19.040192
8.526773	6.593105	11.69454	11.143862
1	1	1	1
21.841984	20.222319	11.612105	14.120065
1341.682007	947.280396	1235.753296	981.702332
6.902109	10.168478	2.870824	2.779695
30.6015008768546	23.8775672321958	38.8621655675074	36.9667490467359
261.995056	242.915894	206.529327	230.768906
52.367458	41.905434	326.367035	511.782135
3583.95130625527	3501.59360535636	4094.51781912047	3550.44882273547
78.13102	46.87981	61.669182	66.572784
1	1	1	1
1	1	7.656057	8.922606
7.999694	5.962625	7.157167	7.403836
270.557495686131	294.161216725872	217.279204802109	228.019524902676
42.499821	86.276123	18.611639	18.339722
35.677719	46.199402	38.739815	40.645287
50.5299394113667	46.5390856332882	45.3650796901218	53.5498307361299
5.131709	3.584244	11.974744	16.710741
13.1964255723115	15.9037191755253	36.6852845377009	36.4923974944376
49.253944	27.537016	68.474525	89.223015
31.1343019902614	35.1406326832394	4.35919392106612	4.67349001742696
405.201904460477	281.402226505646	256.043931825596	288.367807904642
1	1	1	1
39.33622	39.713406	44.88269	59.498756
17.662148	16.250919	22.263813	22.240816
9.736405	15.617921	7.434632	9.340301
14.690632	17.176149	25.443029	26.717751
1	1	1.128327	1.205167
18.35454	14.896749	11.013415	13.303641
21.264668	19.383595	15.744706	18.487829
37.121132	27.231091	34.588867	27.270485
1.133166	1	3.653081	4.392808
123.18354	117.891106	11.946343	19.294598
4.030828	4.9923	2.031096	4.200137
1	1	1	1
1	1.06219	1	1
79.8766662844156	57.3883595181818	89.7520537584416	84.352300101948
13.260542	15.638264	8.652837	21.910185
129.763092	179.311584	11.274803	29.537294
288.195587	216.600037	317.594666	355.626099
10.571482	6.257154	10.2025685951662	16.6999692084592
577.091003	545.691589	255.265991	245.659424
56.964931	54.104767	33.631699	37.940121
298.648926	347.97467	69.598808	83.425598
1	1	1	1
1	1	1	1
50.491623	58.50219	30.688227	33.788189
50.748661	43.306538	25.425993	29.836023
117.517738051756	155.2442905878	63.4624365582255	67.779911
52.544983	54.457115	53.361404	57.101204
45.101952	41.966167	8.118412	10.579675
1479.55241966305	1381.53182997017	1732.4203866739	1564.89684240814
50.796452	43.867729	70.437363	69.172554
38.676571	30.618946	14.421041	21.331167
1	1.149459	1	1.134838
16.1394719362772	16.5605722179989	15.7908909530464	16.5853433448854
1	1	1	1.568904
1	1	1	1
100.755089	79.641388	14.550875	16.686117
6.418003	5.865324	2.944754	3.627261
2334.012207	1966.519165	2932.218262	2563.777588
50.302933	47.485569	19.511726	20.716965
1	1.110027	1.08814	1
1	1	1	1
1	1	1	1
2.240729	1.92907	1.465158	1.223106
2.598319	3.334902	1.694465	2.239835
79.803185	58.938152	45.65588	93.180542
204.100533595182	269.54877763675	106.16141319367	105.289526303259
50.511841	62.750164	28.347729	26.351658
2.196172	2.144295	1	1.801968
22.625341	21.948101	20.225689	25.291674
74.440674	71.014305	147.143555	174.287079
4.204316	5.868025	1	1.577653
17.436256	14.678991	15.547053	19.264429
13.11279	10.005916	11.190161	13.403064
83.876663	75.211479	66.045441	51.556164
4.8853	5.815752	2.002595	1.770119
22.712324	20.072596	81.911232	76.08094
40.231419	43.910591	92.184891	106.118622
94.936043	54.566872	221.309067	207.172058
56.011051	49.461403	4.228954	1.938619
16.8512008202545	15.7276621940615	15.2130044342524	17.254086388123
32.4664917108014	34.5747718013937	159.800769017422	167.398717404181
43.880592	43.539478	14.363695	26.465515
1	1.553996	9.194264	11.291278
3.047513	4.934677	155.441101	242.663986
57.58215	45.731052	60.665352	62.803066
56.130417	83.576401	26.961927	20.271593
1362.33270919654	1404.85207535399	392.531652247906	831.326859956449
4.755708	4.788994	5.093936	6.756432
49.488983	27.369638	3.057675	2.154981
2.252944	3.050075	2.319615	2.555006
124.748688	125.64193	102.373131	99.619835
27.113058	32.968628	6.709134	13.755657
287.794952	257.630371	210.289062	209.574692
438.228516	354.424347	438.268463	420.61145
8.978186	24.038029	1.400671	1.661697
84.964912	86.198837	15.695774	16.003021
42.9211155753165	43.9095442626582	18.7122448626582	18.130904878481
76.043747	72.960106	47.166248	77.295563
171.294826562172	91.2026318633976	84.537948033275	102.399725024518
12.672471	9.549551	2.078805	2.94573
13.637889735191	17.6959501325019	3.69427171005456	3.50735397038192
90.587326	95.736755	21.179102	28.558325
3.267583	2.85913	1.836138	2.498159
265.767048888955	285.975270219105	35.6878193265672	27.5857729958209
14.790773	11.14739	2.381906	2.317108
1	1	1	1
23.236946	20.318176	9.839387	10.328857
38.7877784477124	32.099586417756	28.6152243469499	34.1326442832244
96.283531	90.225693	67.02829	70.435966
108.769768	91.997864	55.385986	55.988827
1.520193	1.74335	1	1
35.6176163684848	23.4448176606061	22.5302237090909	28.9121607684848
1	1	1.879655	1.684185
25.735964	30.950768	22.012924	28.191923
1	1	1	1
197.014282	287.145416	98.468002	92.92791
425.066101	430.103027	365.524841	415.329651
82.385345	82.563858	23.611034	27.945341
1	1	3.914761	4.047824
22.490686	23.572838	14.431528	17.758442
5.651475	7.68903	10.613471	8.564197
53.5701815720384	48.6295233244397	46.5011323959445	52.8142449402348
20.240898	16.354061	7.472504	3.36424
268.703941304159	267.344842898614	135.68287482669	137.704097699307
43.411026	44.619843	61.567333	63.939209
129.275783670823	116.525611630923	106.735512598504	107.197674713217
101.471306	130.866196	21.554817	13.693841
4.514822	2.698259	3.100077	2.178318
38.485374	32.896954	53.205044	29.892336
42.184879	38.64954	99.791809	86.50737
31.3065309308707	32.4131125656992	28.5427158912929	37.3903529203166
10.0355868412521	8.14960150363332	10.3236558848519	8.61815185243153
1	1	1	1
1	1	1	1
1	1	1	1
113.995445	108.254951	31.852165	46.825356
2.407021	1.951826	1	1
439.099335	413.270172	177.995514	159.336044
5.673755	3.697268	4.205158	9.16747
249.031998	235.798935	151.928604	160.921753
265.688165283721	247.722022846512	184.487862776744	210.303415874419
1.160466	1	1.382163	2.251787
21.828856	13.207154	35.290722	35.684464
8.832893	7.145688	1.452034	1.394203
39.5123053205902	44.0228498558015	27.7229875238095	31.8016956512408
48.871433	43.4249	25.650978	19.434345
1	1	1	1
1	1	1	1
32.758446	30.778049	3.26289	3.907221
131.644503450722	111.980264952809	82.9960834616373	86.1512513011236
217.3078	168.607056	319.401062	339.024902
1	1	1	1
1	1	1	1
94.624985	74.65802	165.392487	140.916885
11.233785	11.464502	16.826189	14.895575
1	1	1	1
11.217442	13.764562	21.536654	25.509588
3.562497	4.561856	2.762761	4.364784
3.750644	3.737705	372.369019	466.298157
15.511532	11.026053	11.925648	13.531533
1	1	18.704887	20.860552
1	1	359.384705	364.463013
29.125652	19.592602	11.195187	13.139761
1	1	1	1
8.915442	3.266775	1	1
1158.195801	1323.358398	1336.63269	1132.960083
1	1	1.568305	1.4543
16.3404902275078	18.1493941080662	1748.30514509049	1985.68225331954
36.563938	22.732265	16.204602	12.944027
521.680237	553.373291	163.749207	182.179062
8.476529	12.938756	15.638112	21.93943
108.59163630735	97.3188907109132	51.7901896681514	52.6580167928731
62.555252	43.090981	81.344536	91.775467
82.440697	73.540558	22.339548	23.600534
1	1	1	1
1	1	1	1.163646
415.671326	367.720245	44.516834	50.515392
1	1	1.448713	1
1	1	1	1
11.426134	13.29351	1.849188	1.156236
28.0270319142857	24.1108383428571	61.8446028571429	79.4279126761905
1	1	1	1
19.616165	18.584608	18.893934	23.737993
39.977112	27.115406	1	1
8.89945255249344	6.52651343569554	14.4257053346457	21.0215291312336
1.166786	1.340749	12.819118	22.983019
32.884827	23.265562	24.04841	20.922007
1	1	1	1
110.182068	115.870697	42.257298	45.057148
1	1	1	1
1	1	1	1
9.16323596833046	11.5844492172117	9.43036998003442	8.81710715869191
45.616867	43.30265	51.576569	52.293453
17.205484	15.101141	19.119587	22.952618
57.5888365233381	43.8970394512023	34.6952209278642	50.8627149844413
40.9564141583221	47.6093108511502	39.1190441244926	50.3035145453315
24.448835	22.289165	38.901115	41.984558
10.465454	33.395557	24.848574	115.079025
68.2523767948223	47.9519232658423	34.7066236387171	37.2213453956723
1155.52310392809	1112.12373856633	9.01716684113712	20.8202382943144
5.839079	7.290898	1.245768	1.884093
76.98951	67.436554	76.824127	78.03936
185.886703	192.612762	110.62767	133.16452
1.302856	1	2.437699	1.938439
26.577293	44.240856	1.111755	1.067002
45.564907	28.995773	55.713696	32.144396
1.627388	1.760366	1.763275	1.549141
38.6631971920039	31.4627118040474	32.3471539827246	38.0418959496545
48.9778579790745	44.8324198651911	3.10267564587525	3.01321680523139
8.852751	8.330764	7.228171	9.178992
22.751728	23.767216	47.905914	46.891251
36.305462	36.488144	55.210625	54.116066
17.4818911988266	14.6625042340287	12.609554904824	32.4272528135593
105.996826	85.439796	52.728546	58.902714
1	1	1.439828	1
26.663221	20.949879	25.562811	20.513517
2.330329	1.715613	1	1
122.738457	149.402603	142.766083	160.187576
41.280537	37.903896	150.889053	141.689056
17.517548	21.858709	8.431284	6.202371
45.8987503873032	33.1406929320866	26.6998667854331	30.6476531865157
9.901079	10.234368	2.712355	1.535957
66.989342	107.218399	15.279073	51.678001
1	1	1	1
1	1	1	1
60.349182	56.859955	24.904581	24.760269
4.22020886629213	3.92599665168539	8.29251474382022	14.145699241573
1	1	194.150757	243.254349
1	1	1	1
4.875936	5.566628	2.690452	1.991557
1	1	1	1
134.177032	139.005905	165.025986	223.112961
74.9048771197735	51.378739956446	66.0042426206446	56.1526448667247
463.787931618497	317.180874907514	459.416742549133	444.348682427746
169.152969	184.808319	89.239212	95.389725
35.0351753714286	41.3798541416283	48.8356871938556	55.7876528632872
82.047447	104.352859	33.810467	43.825325
55.7019747579344	46.7975622366864	80.7771155126412	59.8568704870898
181.806473	247.942078	24.972986	28.208004
1	1	49.306332	57.031139
66.4525926672761	49.6704094680073	52.6405460105119	49.1807211713894
33.677521	44.048923	35.39592	31.787428
133.566101	141.383347	5.041136	8.471063
49.999035	41.534664	40.111126	50.24968
155.386017	166.810547	101.892334	93.779762
54.0436221703927	43.2726953364861	68.2065664994268	57.6587865143308
800.04541	624.653992	679.979553	652.146118
307.95874	180.860535	286.882904	301.660126
4.457533	3.48034	5.567515	4.489993
26.3759302737738	24.2727347152152	91.0754857077077	96.8396913528529
1.417644	1.183734	1.367961	1.606673
1	1	1	1
1	1	1	1
7.549397	7.346818	139.534119	133.651764
39.425205	32.192209	52.389374	58.534637
8.288101	7.903303	2.951567	3.251556
5.028577	4.818746	1.39663	1.156963
7.61266	7.637206	2.660286	3.600148
91.537918	79.290504	51.463272	52.697746
