ctl_water1	ctl_water2	ctl_water3	ctl_drought1	ctl_drought2	ctl_drought3	h1_water1	h1_water2	h1_water3	h1_drought1	h1_drought2	h1_drought3
3.168046	3.241514	3.348751	3.605879	2.847383	3.187437	3.68011	3.111505	3.974339	3.597551	3.686215	4.157594
5.87295316995544	6.08088628516868	5.73510670337365	5.31088849331636	5.73287800254615	5.52713419287078	6.14437276002546	6.08141783068109	6.51074071483132	6.55498955506047	5.93763283959262	6.25443892106938
4.25448361889764	4.117943	3.696376	3.371129	2.301995	3.59688129448819	4.16896806929134	3.91468340314961	4.62546093070866	3.38425753385827	2.86695322047244	3.35805537480315
8.33993936980411	8.84088554132824	8.1726083134257	8.07473132107024	8.55365726516961	7.99576286478739	8.96301895938844	9.06839967128524	9.3671289689441	8.98182934113712	8.31196489870999	8.58893962111801
3.577555	3.459286	3.684554	2.737085	4.84741	3.044677	4.689383	4.251185	5.423835	4.087394	2.946588	4.255827
43.1125966403433	42.2299544515022	44.0941379381974	36.2664024429185	24.1943040120172	37.1385772909871	43.3203417871245	41.1047231725322	38.9426063484979	33.4131881922747	35.7717581802575	35.4571550472103
133.635315453961	130.958747998538	134.370070451038	125.381843680795	99.9552416518562	118.408073826951	124.389110566793	123.391233228296	117.310713124233	112.646238079509	111.40247317188	102.881538784274
4.67662168104861	3.91054541015838	4.30542243418897	3.01286536701256	3.33674155051884	2.98724291206991	4.55414043801202	3.21875262861824	4.58725611250683	3.56145795466958	3.1425614642272	4.20709890333151
36.4326115947012	33.3414286290868	32.7581881155581	29.3071566939121	28.0712805625705	30.1287871149944	34.9727278714769	33.0033525766629	31.9470525755355	29.1766085073281	29.3636079464487	29.9253202745209
90.864944	91.291832	89.665115	92.196976	88.036156	81.977974	92.164894	90.5578	92.853279	91.908806	95.514435	98.460144
188.320913179907	201.051666221963	187.093855248832	186.89661933528	415.502019625	168.594445961449	192.501397574766	204.036428767523	186.729964655374	186.145227559579	203.962367913551	222.622271070093
2.10732389818182	2.13887262545455	2.09271157590909	1.858597105	1.33791384136364	2.05620923272727	2.13086041772727	2.62808233227273	2.41162608	2.001194765	2.10391711772727	2.251414135
52.072693	59.343258	62.296368	61.185135	42.058716	53.399467	55.920464	53.67374	49.890915	48.385666	54.915718	46.630859
3.590987	2.718056	4.833838	3.287088	4.163911	3.134774	2.812951	2.561054	4.011071	2.680931	3.484951	3.954057
